2020-09-14 16:29:04.464 [main] INFO  c.s.w.c.ConsigneeconsignerApplication - Starting ConsigneeconsignerApplication on shenhailongdeMacBook-Pro.local with PID 18853 (/Users/shenhailong/开发项目/新仓单2.0/后端/consigneeconsigner/target/classes started by shenhailong in /Users/shenhailong/开发项目/新仓单2.0/后端/consigneeconsigner)
2020-09-14 16:29:04.468 [main] INFO  c.s.w.c.ConsigneeconsignerApplication - The following profiles are active: dev
2020-09-14 16:29:05.265 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2020-09-14 16:35:12.780 [main] INFO  c.s.w.c.ConsigneeconsignerApplication - Starting ConsigneeconsignerApplication on shenhailongdeMacBook-Pro.local with PID 18991 (/Users/shenhailong/开发项目/新仓单2.0/后端/consigneeconsigner/target/classes started by shenhailong in /Users/shenhailong/开发项目/新仓单2.0/后端/consigneeconsigner)
2020-09-14 16:35:12.783 [main] INFO  c.s.w.c.ConsigneeconsignerApplication - The following profiles are active: dev
2020-09-14 16:35:13.473 [main] INFO  c.s.w.c.ConsigneeconsignerApplication - Started ConsigneeconsignerApplication in 1.186 seconds (JVM running for 1.825)
2020-09-14 16:39:48.925 [main] INFO  c.s.w.c.ConsigneeconsignerApplication - Starting ConsigneeconsignerApplication on shenhailongdeMacBook-Pro.local with PID 19141 (/Users/shenhailong/开发项目/新仓单2.0/后端/consigneeconsigner/target/classes started by shenhailong in /Users/shenhailong/开发项目/新仓单2.0/后端/consigneeconsigner)
2020-09-14 16:39:48.928 [main] INFO  c.s.w.c.ConsigneeconsignerApplication - The following profiles are active: dev
2020-09-14 16:39:49.687 [main] INFO  c.s.w.c.ConsigneeconsignerApplication - Started ConsigneeconsignerApplication in 1.234 seconds (JVM running for 1.823)
2020-09-14 16:39:57.849 [main] INFO  c.s.w.c.ConsigneeconsignerApplication - Starting ConsigneeconsignerApplication on shenhailongdeMacBook-Pro.local with PID 19146 (/Users/shenhailong/开发项目/新仓单2.0/后端/consigneeconsigner/target/classes started by shenhailong in /Users/shenhailong/开发项目/新仓单2.0/后端/consigneeconsigner)
2020-09-14 16:39:57.851 [main] INFO  c.s.w.c.ConsigneeconsignerApplication - The following profiles are active: dev
2020-09-14 16:39:58.535 [main] INFO  c.s.w.c.ConsigneeconsignerApplication - Started ConsigneeconsignerApplication in 1.048 seconds (JVM running for 1.554)
2020-09-14 16:56:09.636 [main] INFO  c.s.w.c.ConsigneeconsignerApplication - Starting ConsigneeconsignerApplication on shenhailongdeMacBook-Pro.local with PID 19453 (/Users/shenhailong/开发项目/新仓单2.0/后端/consigneeconsigner/target/classes started by shenhailong in /Users/shenhailong/开发项目/新仓单2.0/后端/consigneeconsigner)
2020-09-14 16:56:09.639 [main] INFO  c.s.w.c.ConsigneeconsignerApplication - The following profiles are active: dev
2020-09-14 16:56:10.434 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 40002 (http)
2020-09-14 16:56:10.443 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-40002"]
2020-09-14 16:56:10.444 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-09-14 16:56:10.444 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-09-14 16:56:10.506 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-09-14 16:56:10.506 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 821 ms
2020-09-14 16:56:10.642 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-09-14 16:56:10.955 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-40002"]
2020-09-14 16:56:10.980 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 40002 (http) with context path ''
2020-09-14 16:56:10.988 [main] INFO  c.s.w.c.ConsigneeconsignerApplication - Started ConsigneeconsignerApplication in 1.887 seconds (JVM running for 2.548)
2020-09-14 18:24:00.755 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
